,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
195,92,148,107,8,0,85.98,3,bowled,1,v Australia,Kolkata,21 Sep 2017
196,28,58,35,2,0,80.00,3,caught,2,v Australia,Indore,24 Sep 2017
197,21,23,21,3,0,100.00,3,bowled,2,v Australia,Bengaluru,28 Sep 2017
198,39,73,55,2,0,70.90,3,caught,2,v Australia,Nagpur,1 Oct 2017
199,121,203,125,9,2,96.80,3,caught,1,v New Zealand,Mumbai,22 Oct 2017
200,29,40,29,3,1,100.00,3,caught,2,v New Zealand,Pune,25 Oct 2017
201,113,166,106,9,1,106.60,3,caught,1,v New Zealand,Kanpur,29 Oct 2017
202,112,164,119,10,0,94.11,3,caught,2,v South Africa,Durban,1 Feb 2018
203,46*,64,50,4,1,92.00,3,not out,2,v South Africa,Centurion,4 Feb 2018
204,160*,220,159,12,2,100.62,3,not out,1,v South Africa,Cape Town,7 Feb 2018
205,75,119,83,7,1,90.36,3,caught,1,v South Africa,Johannesburg,10 Feb 2018
206,36,76,54,2,0,66.66,3,run out,1,v South Africa,Port Elizabeth,13 Feb 2018
207,129*,123,96,19,2,134.37,3,not out,2,v South Africa,Centurion,16 Feb 2018
208,75,-,82,7,0,91.46,3,stumped,2,v England,Nottingham,12 Jul 2018
209,45,-,56,2,0,80.35,3,lbw,2,v England,Lord's,14 Jul 2018
210,71,98,72,8,0,98.61,3,bowled,1,v England,Leeds,17 Jul 2018
211,140,-,107,21,2,130.84,3,stumped,2,v West Indies,Guwahati,21 Oct 2018
212,157*,217,129,13,4,121.70,3,not out,1,v West Indies,Visakhapatnam,24 Oct 2018
213,107,-,119,10,1,89.91,3,bowled,2,v West Indies,Pune,27 Oct 2018
214,16,-,17,2,0,94.11,3,caught,1,v West Indies,Mumbai (BS),29 Oct 2018
215,33*,57,29,6,0,113.79,3,not out,2,v West Indies,Thiruvananthapuram,1 Nov 2018
216,3,10,8,0,0,37.50,3,caught,2,v Australia,Sydney,12 Jan 2019
217,104,150,112,5,2,92.85,3,caught,2,v Australia,Adelaide,15 Jan 2019
218,46,-,62,3,0,74.19,3,caught,2,v Australia,Melbourne,18 Jan 2019
219,45,59,59,3,0,76.27,3,caught,2,v New Zealand,Napier,23 Jan 2019
220,43,59,45,5,0,95.55,3,caught,1,v New Zealand,Mount Maunganui,26 Jan 2019
221,60,94,74,6,1,81.08,3,caught,2,v New Zealand,Mount Maunganui,28 Jan 2019
222,44,-,45,6,1,97.77,3,lbw,2,v Australia,Hyderabad (Deccan),2 Mar 2019
223,116,-,120,10,0,96.66,3,caught,1,v Australia,Nagpur,5 Mar 2019
224,123,-,95,16,1,129.47,3,bowled,2,v Australia,Ranchi,8 Mar 2019
225,7,-,6,1,0,116.66,4,caught,1,v Australia,Mohali,10 Mar 2019
226,20,-,22,2,0,90.90,3,caught,2,v Australia,Delhi,13 Mar 2019
227,18,44,34,1,0,52.94,3,caught,2,v South Africa,Southampton,5 Jun 2019
228,82,128,77,4,2,106.49,3,caught,1,v Australia,The Oval,9 Jun 2019
229,77,105,65,7,0,118.46,3,caught,1,v Pakistan,Manchester,16 Jun 2019
230,67,105,63,5,0,106.34,3,caught,1,v Afghanistan,Southampton,22 Jun 2019
231,72,146,82,8,0,87.80,3,caught,1,v West Indies,Manchester,27 Jun 2019
232,66,103,76,7,0,86.84,3,caught,2,v England,Birmingham,30 Jun 2019
233,26,45,27,3,0,96.29,3,caught,1,v Bangladesh,Birmingham,2 Jul 2019
234,34*,61,41,3,0,82.92,3,not out,2,v Sri Lanka,Leeds,6 Jul 2019
235,1,8,6,0,0,16.66,3,lbw,2,v New Zealand,Manchester,9 Jul 2019
236,TDNB,-,-,-,-,-,-,-,-,v West Indies,Providence,8 Aug 2019
237,120,179,125,14,1,96.00,3,caught,1,v West Indies,Port of Spain,11 Aug 2019
238,114*,127,99,14,0,115.15,3,not out,2,v West Indies,Port of Spain,14 Aug 2019
239,4,-,4,1,0,100.00,3,bowled,1,v West Indies,Chennai,15 Dec 2019
240,0,-,1,0,0,0.00,3,caught,1,v West Indies,Visakhapatnam,18 Dec 2019
241,85,-,81,9,0,104.93,3,bowled,2,v West Indies,Cuttack,22 Dec 2019
242,16,-,14,0,1,114.28,4,caught,1,v Australia,Mumbai,14 Jan 2020
243,78,-,76,6,0,102.63,3,caught,1,v Australia,Rajkot,17 Jan 2020
244,89,-,91,8,0,97.80,3,bowled,2,v Australia,Bengaluru,19 Jan 2020
245,51,88,63,6,0,80.95,3,bowled,1,v New Zealand,Hamilton,5 Feb 2020
246,15,31,25,1,0,60.00,3,bowled,2,v New Zealand,Auckland,8 Feb 2020
247,9,20,12,0,1,75.00,3,caught,1,v New Zealand,Mount Maunganui,11 Feb 2020
